tt0057986,6,nm0551619,composer,""
tt0057988,8,nm0006177,composer,""
tt0057991,8,nm0503295,composer,""
tt0057997,10,nm0006238,composer,""
tt0057999,8,nm0000049,composer,""
tt0058000,10,nm0210147,composer,""
tt0058001,7,nm0405411,composer,""
tt0058001,8,nm0753014,composer,""
tt0058003,8,nm0006090,composer,""
tt0058003,9,nm0312483,composer,""
tt0058006,9,nm0723122,composer,""
tt0058011,8,nm0400614,composer,""
tt0058017,8,nm0006227,composer,""
tt0058018,9,nm0510360,composer,""
tt0058021,9,nm0551619,composer,""
tt0058022,8,nm0850458,composer,""
tt0058022,9,nm0945120,composer,""
tt0058037,7,nm0140020,composer,""
tt0058043,9,nm0290002,composer,""
tt0058050,9,nm0527534,composer,""
tt0058056,8,nm0775333,composer,""
tt0058060,8,nm0114089,composer,""
tt0058060,9,nm0006052,composer,""
tt0058062,8,nm0006110,composer,""
tt0058063,8,nm0006164,composer,""
tt0058067,7,nm0006316,composer,""
tt0058067,8,nm0944904,composer,""
tt0058073,7,nm0052140,composer,""
tt0058075,10,nm0650534,composer,""
tt0058084,9,nm0817297,composer,""
tt0058088,10,nm0356490,composer,""
tt0058090,8,nm0046034,composer,""
tt0058090,9,nm0321939,composer,""
tt0058091,9,nm0000025,composer,""
tt0058092,10,nm0170990,composer,""
tt0058095,8,nm0006134,composer,""
tt0058100,10,nm0006145,composer,""
tt0058101,8,nm2081982,composer,""
tt0058104,9,nm0179460,composer,""
tt0058105,10,nm0890206,composer,""
tt0058106,7,nm0418593,composer,""
tt0058110,10,nm0006076,composer,""
tt0058122,9,nm0764213,composer,""
tt0058123,10,nm0006277,composer,""
tt0058125,10,nm0953626,composer,""
tt0058126,8,nm0006291,composer,""
tt0058130,6,nm0842529,composer,""
tt0058135,10,nm0498899,composer,""
tt0058138,8,nm0422086,composer,""
tt0058139,10,nm0395902,composer,""
tt0058140,10,nm0006267,composer,""
tt0058142,8,nm0011709,composer,""
tt0058143,7,nm0004384,composer,""
tt0058153,9,nm0006030,composer,""
tt0058154,9,nm0006238,composer,""
tt0058155,9,nm0002302,composer,""
tt0058159,10,nm0005992,composer,""
tt0058161,8,nm0003049,composer,""
tt0058164,7,nm0006112,composer,""
tt0058165,8,nm0804165,composer,""
tt0058167,9,nm0363316,composer,""
tt0058167,10,nm0770127,composer,""
tt0058168,6,nm3464040,composer,""
tt0058171,8,nm0702199,composer,""
tt0058173,9,nm3729273,composer,""
tt0058173,10,nm0793052,composer,""
tt0058186,9,nm0006098,composer,""
tt0058191,10,nm0003049,composer,""
tt0058200,8,nm0006109,composer,""
tt0058202,8,nm0006227,composer,""
tt0058204,9,nm0770127,composer,""
tt0058206,7,nm0173368,composer,""
tt0058209,8,nm0919055,composer,""
tt0058212,7,nm0006126,composer,""
tt0058213,8,nm0006030,composer,""
tt0058216,7,nm0052140,composer,""
tt0058222,10,nm0265703,composer,""
tt0058229,9,nm0001553,composer,""
tt0058231,9,nm0006090,composer,""
tt0058232,8,nm0000016,composer,""
tt0058238,10,nm0000710,composer,""
tt0058241,10,nm0006275,composer,""
